code_circo,candidat,genre,LE PEN
58_2,Harold BLANOT,H,0.25336716156111000
07_1,Céline Porquet,F,0.2527098274224710
42_5,Sarah Brosset,F,0.25211883083355400
60_4,Mylène TROSZCZYNSKI,F,0.2504763200870990
59_8,Astrid Leplat,F,0.249830799079547
89_1,Ludovic VIGREUX,H,0.24966839604425900
47_3,Etienne BOUSQUET-CASSAGNE,H,0.24654962451796200
49_3,Patrice LANCIEN,H,0.2465126996224680
73_3,Marie DAUCHY,F,0.2441356562626100
91_2,Valérie GIRARD,F,0.24359614105123100
77_7,Frédérique TROUSSARD,H,0.24343131373725300
82_1,Thierry VIALLON,H,0.24236326037777700
62_2,Alban Heusèle,H,0.2414937267623580
58_1,Pauline VIGNERON,F,0.24109826385205600
973_1,René TRAN VAN NGHIA,H,0.24108491113950500
47_1,Catherine LESNE,F,0.240572978275295
69_9,Christophe Boudot,H,0.24041398741857600
72_3,Pascal GANNAT,H,0.2403403931218330
69_13,Sandrine LIGOUT,F,0.23836633663366300
51_1,Sandrine VIGNOT,F,0.2382605517997440
76_8,Damien Lenoir,H,0.23764238466577900
71_5,Lilian Noirot,H,0.2363712587402120
81_3,Virginie CALLEJON,F,0.23566046721781900
69_11,Antoine MELLIES,H,0.2339845964519300
71_2,Antoine Chudzik,H,0.23386871852082800
39_1,Jean-Paul ECARD,H,0.2312265635625330
16_3,Aurelie De Azevedo,F,0.23111362191935600
57_2,Marie-Claude VOINÇON,F,0.23061871201232900
61_3,Katia FRÉMONT,F,0.23004266226584000
57_9,Lionel BIEDER,H,0.2290235297238510
07_2,Odile Lasfargues-Bouyon,F,0.22898597496201300
57_3,Françoise GROLET,F,0.22792199726742000
86_3,Delphine Jumeau,F,0.22713741779162300
51_2,Cindy Demange,F,0.22692087155963300
59_6,Eric CATTELIN,H,0.22673265973010300
95_9,Mikael SALA,H,0.2266061799876640
31_5,Julien Leonardelli,F,0.2257777558130920
59_11,Nathalie ACS,F,0.22541601416716700
63_5,Jérôme Jayet,H,0.2247849537066280
73_1,Jean-Pierre CHAUVEAU,H,0.22246628747654300
03_1,Michèle CIUCH,F,0.22208368370690400
74_3,Nathalie GENAND,F,0.22179425203112600
95_1,Denise CORNET,F,0.22162454594636400
73_2,Jean-Marie GARCIN,H,0.22042760262980800
49_4,Aymeric MERLAUD,H,0.21985200986600900
974_4,Johan DELPLANQUE,H,0.21916119737474000
50_3,Carmen MASSON,F,0.2191443343087470
50_1,Franck SIMON,H,0.21804998990976400
81_2,Doriane ALBARAO,F,0.2179930795847750
81_1,Frédéric Cabrolier,H,0.21796059908522900
78_8,François SIMEONI,H,0.21779045166038100
03_2,Elisabeth CAMUS,F,0.21723865253835200
61_1,Raymond Herbreteau,H,0.21634303039052900
37_2,Stanislas de La Ruffie,H,0.21405360366615700
67_4,Thibault MANTEAUX,H,0.2137022815143240
07_3,Thierry Arsac,H,0.21295755451713400
76_2,Gilles PATITUCCI,H,0.21295705713132800
56_3,Sylvie BAUD,F,0.21255961632989300
85_5,Gérald OBERWEIS,H,0.21247533536258900
56_4,Agnès RICHARD,F,0.21242041902998000
72_5,Eric de VILMAREST,H,0.21210181818181800
77_2,Marie Garcia,F,0.21147852770541300
77_9,Pascal Fiandrin,H,0.2111328747779350
69_14,Damien MONCHAU,H,0.2109986977862370
72_2,Pascal NICOT,H,0.21073339628580400
78_9,Emmanuel NORBERT-COUADE,H,0.2104515446112700
76_3,Guillaume PENNELLE,H,0.20959779572155700
68_5,Christelle RITZ,F,0.2095584360838870
974_1,Jean-Pierre Céleste,H,0.20920466595970300
45_2,Nadine BOISGERAULT,F,0.20864374763883600
14_4,Philippe FOUCHE SAILLENFEST,H,0.207740191458757
71_1,Nicole CABOCHE,F,0.20411180987333200
37_5,Daniel Fraczak,H,0.2037133077481590
09_1,Laurence LEFORT,F,0.20304715302491100
79_3,Lucie CHAUMERON,F,0.2020016705447170
45_6,Myriam BACHIR,F,0.2019291146305730
69_8,Pierre TERRAIL,H,0.20139497561878900
37_4,Véronique Péan,F,0.20134059137151700
59_7,Françoise COOLZAET,H,0.201274746146541
974_7,Corinne SUZANNE,F,0.20123614806830800
42_1,Philippe Clause,H,0.20071499421392000
85_3,Corinne Fillet,F,0.2001004036637090
74_6,Karam Aoun,H,0.19910529704815800
23_1,Martial MAUME,H,0.19880144054888900
974_2,Marie-Line HOARAU,F,0.19863315234481500
79_2,Jean-Romée CHARBONNEAU,H,0.19828977509371100
77_1,Stéfanie CONIGLIO,F,0.19789417362557600
63_2,Stanislas Chavelet,H,0.19781065346477200
91_3,François Helie,H,0.19694496268656700
91_3,François HÉLIE,H,0.19694496268656700
40_1,Christophe Bardin,H,0.19661105773430000
13_5,Jean-François LUC,H,0.1959751847738670
26_1,Bernard SIRONNEAU,H,0.19590112422316900
44_6,Brigitte NEDELEC,F,0.19560501006486200
