code_circo,genre,nom,MACRON
94_10,F,Sheerazed BOULKROUN,0.25800660927746727
65_1,H,Jean-Bernard SEMPASTOUS,0.25794357074081636
31_9,F,Sandrine MORCH,0.25789050843567085
14_5,H,Bertrand BOUYX,0.2573540524573046
46_1,H,Sébastien MAUREL,0.25717423899020186
40_2,H,Lionel CAUSSE,0.25668173881899986
93_8,F,Sylvie CHARRIERE,0.25517834689960955
63_2,H,Mohand HAMOUMOU,0.2542429477779875
79_3,H,Jean-Marie FIEVET,0.25395262812481356
67_3,H,Bruno STUDER,0.2539458413926499
01_3,F,Olga GIVERNET,0.25328134247815337
79_2,F,Christine-Nelly HEINTZ,0.2529414827155352
91_7,F,Murielle KERNREUTER,0.2524108864918923
972_3,H,Max ORVILLE,0.2523643179688166
95_2,H,Guillaume VUILLETET,0.25225797818960327
67_4,F,Martine WONNER,0.2516791364817967
57_3,H,Richard LIOGER,0.25143282999449934
77_11,F,Amandine RUBINELLI,0.25136356235753826
28_1,H,Guillaume KASBARIAN,0.2512909266299722
42_2,H,Jean-Michel MIS,0.2512252346193952
34_3,F,Coralie DUBOST,0.25115493445746956
56_4,H,Paul MOLAC,0.2510128487093414
95_7,H,Dominique DA SILVA,0.2506464369914062
91_9,F,Marie GUEVENOUX,0.2506348359131124
59_9,F,Valérie PETIT,0.25046609182008855
38_9,F,Elodie Jacquier Laforge,0.2498445335344474
76_2,F,Annie VIDAL,0.24952162763755645
17_2,F,Frederique GUEREAU - TUFFNELL,0.24949138417040467
73_4,H,Patrick MIGNOLA,0.24941245593419506
45_2,H,Emmanuel CONSTANTIN,0.24939931998488854
25_1,F,Fannette CHARVIER,0.24910570791642905
13_14,F,Anne-Laurence PETEL,0.24757746916778942
93_7,F,Halima MENNOUDJ,0.24751234747239978
91_3,F,Laetitia ROMEIRO DIAS,0.24730514096185738
33_8,F,Sophie PANONACLE,0.24679509469828687
33_4,H,Aziz SKALLI BOUAZIZA,0.2463753523962948
34_2,F,Stéphanie JANNIN,0.24580761079885746
93_9,F,Jeanne DROMARD,0.24539018281499594
972_1,F,Chantal MAIGNAN,0.24537164962696878
42_1,F,Magali VIALLON,0.24495784427178047
53_3,H,Josselin CHOUZY,0.24474936030636602
85_5,H,Pierre HENRIET,0.2446884990134145
44_6,H,Yves DANIEL,0.24468798926414673
14_6,H,Alain TOURRET,0.24453936128269155
26_1,F,Mireille CLAPOT,0.24401228964457788
65_2,F,Marie Agnes STARICKY,0.24397492781181773
69_11,H,Jean-Luc FUGIT,0.24374662960965696
91_10,H,Pierre-Alain RAPHAN,0.2434428372255141
69_13,F,Danielle CAZARIAN,0.24311571782178218
85_3,H,Stéphane BUCHOU,0.24307931889433027
59_6,F,Charlotte LECOQ,0.24287999562476928
74_4,F,Laura DEVIN,0.24251626204670043
69_7,F,Anissa KHEDHER,0.24249467363935695
57_2,H,Ludovic MENDES,0.2423764913678159
03_3,F,Bénédicte PEYROL,0.24233771806763604
50_2,H,Bertrand SORRE,0.24213078233521163
15_2,F,Patricia ROCHES,0.24207876110398555
40_1,F,Geneviève DARRIEUSSECQ,0.24194252773167962
21_3,F,Fadila KHATTABI,0.2419263970922308
71_1,H,Benjamin DIRX,0.2417915234006164
32_1,H,Jean-René CAZENEUVE,0.2413712880336341
93_6,H,Alexandre AIDARA,0.2408176740858943
50_3,H,Stéphane TRAVERT,0.2407962155472536
77_1,F,Aude LUQUET,0.24073684813972598
12_3,H,Jean-Louis AUSTRUY,0.24019624720261662
59_1,H,Christophe ITIER,0.24006280843427547
95_5,F,Fiona LAZAAR,0.23973854086313995
63_5,H,Sébastien GARDETTE,0.23962662153115488
16_2,F,Sandra MARSAUD,0.239476405847213
16_3,F,Madeleine NGOMBET BITOO,0.23936162700374267
33_9,F,Sophie METTE,0.2392377984365096
37_5,F,Sabine THILLAYE,0.23914235334212516
91_8,H,Antoine PAVAMANI,0.23890728201374217
40_3,H,Jean Pierre Louis STEINER,0.23884076433121018
43_2,H,Pierre ETEOCLE,0.23878819097904125
37_4,F,Fabienne COLBOC,0.23723429562978407
92_1,F,Isia KHALFI,0.23681926423786526
13_2,F,Claire PITOLLAT,0.2365215992277371
37_2,H,Daniel LABARONNE,0.23643938341896958
03_1,F,Pauline RIVIERE,0.23597297532403513
14_4,H,Christophe BLANCHET,0.23447497643966073
62_4,H,Thibault GUILLY,0.2343973661608932
33_5,H,Benoit SIMIAN,0.2342190982341848
24_4,F,Jacqueline DUBOIS,0.23421037725161437
03_2,F,Laurence VANCEUNEBROCK-MIALON,0.23382887869682112
58_1,F,Perrine GOULET,0.23370814327640466
42_3,F,Valéria MUNTIAN,0.23302422011860946
94_3,H,Laurent SAINT MARTIN,0.23288471722576287
01_2,F,Marie-Jeanne BÉGUET,0.23269035261383703
43_1,F,Cécile GALLIEN,0.23220833548520373
33_12,F,Christelle DUBOS,0.23215106196920066
95_1,F,Isabelle MULLER-QUOY,0.23179534739933536
07_2,F,Laurette GOUYET-POMMARET,0.23115091371172697
18_1,H,François CORMIER-BOULIGEON,0.23064589596428897
93_12,H,Stéphane TESTE,0.2305613215706625
38_8,F,Caroline ABADIE,0.23051075268817203
57_1,H,Belkhir BELHADDAD,0.23034673167579633
31_7,F,Elisabeth TOUTUT-PICARD,0.2300505551149881
59_7,H,Arnaud VERSPIEREN,0.22992914018555044
