code_circo,nom,genre,HAMON
33_9,Gilles SAVARY,H,0.0721133530530319
93_8,Elisabeth POCHON,F,0.0717137626011956
41_1,Denys ROBILIARD,H,0.0716877267609158
64_6,Sylviane ALAUX,F,0.07157294635916041
79_2,Delphine BATHO,F,0.07111620158267389
999_1,Yan Chantrel,H,0.0709289084106068
46_2,Vincent LABARTHE,H,0.0708443296460591
35_6,Evelyne GAUTIER LE BAIL,F,0.07080870330776003
87_2,Annick MORIZIO,F,0.07077351700653949
77_11,Olivier FAURE,H,0.07072207749918594
21_1,Sladana ZIVKOVIC,F,0.07033450224394498
63_2,Christine PIRES BEAUNE,F,0.07031170603522119
71_5,Christophe SIRUGUE,H,0.0701313090478971
92_5,Lies MESSATFA,H,0.07006546389067357
95_4,Marie-José BEAULANDE,H,0.06982226122266384
13_5,Marie-Arlette CARLOTTI,F,0.06963964308964883
999_5,Gabrielle SIRY,F,0.06953594752438218
24_4,Benjamin DELRIEUX,H,0.06914863487028436
974_5,Philippe Leconstant,H,0.06914791766395405
78_10,Jean-Claude HUSSON,H,0.0688781763215949
26_1,Jean-Pierre VEYRET,H,0.06881502688359752
38_4,Marie-Noelle BATTISTEL,F,0.06879104010915603
35_7,Alexandra THIERRY,F,0.06870277397433946
45_1,Olivier JOUIN,H,0.06856382093526377
92_8,Catherine LIME BIFFE,F,0.06838219858652299
11_3,André VIOLA,H,0.06830201417801282
37_4,Laurent BAUMEL,H,0.06814906032661172
78_12,Marie-Noelle BAS,F,0.06810887264946416
95_6,Guilaine PESTIE,F,0.0677414300388238
69_14,Yves BLEIN,H,0.06753480917559852
35_5,Stéphane LENFANT,H,0.06747732367048767
24_1,Michel MOYRAND,H,0.0672318379842223
45_6,Valérie CORRE,F,0.0671701667480639
71_1,Catherine N’DIAYE,F,0.0670039728492277
49_7,Sylvie CAMARA TOMBINI,F,0.06683254070737929
75_12,Florian SITBON,H,0.06680210135381782
94_5,Caroline ADOMO,F,0.06679989420166338
21_3,Anne DILLENSEGER,F,0.06633348477964561
92_3,Isabelle DAHAN,F,0.06627314602971233
34_3,Fanny DOMBRE COSTE,F,0.06619218109372293
91_10,Malek BOUTIH,H,0.06596375043569187
26_3,Pascale ROCHAS,F,0.06595413100111648
95_2,Ayda HADIZADEH,F,0.06594968890078276
11_1,Alain GINIES,H,0.0658575407879029
12_2,Bertrand CAVALERIE,H,0.06555673040735498
91_3,Michel POUZOL,H,0.06553171641791045
58_1,Gaëtan GORCE,H,0.06534422403733955
57_3,Nathalie DE OLIVEIRA,F,0.06517380272193339
19_1,Bernard COMBES,H,0.06510989757383107
58_2,Christian PAUL,H,0.06508801603708576
77_8,Eduardo RIHAN CYPEL,F,0.06496283328071635
78_2,Amroze ADJUWARD,H,0.06491210841598744
95_3,Nelly LEON,H,0.0648803908592991
81_1,Patrice BEDIER,H,0.06484111087859855
91_4,Ophélie GUIN,F,0.06483138509182754
78_4,Monika BELALA,F,0.06470533325035784
78_8,Françoise DESCAMPS CROSNIER,F,0.06464906632324534
974_3,Jean-Jacques Vlody,H,0.06436201204117305
95_9,Luc BROUSSY,H,0.06430689030820351
93_5,Valérie MERY FRITZ,F,0.06429692808772876
59_4,Philippe HARQUET,H,0.06405689323417754
62_2,Jacqueline MAQUET,F,0.06394702928498422
91_9,Romain COLAS,H,0.0638232487424588
21_2,Pierre PRIBETICH,H,0.06341337082392985
71_3,Philippe BAUMEL,H,0.06339888929322975
37_3,Marisol TOURAINE,F,0.06337703574720885
999_9,Didier Le Bret,H,0.0631485670312245
69_12,David CHIZAT,H,0.06311315629693541
56_3,Marie-Christine LE MOUEL,F,0.06267851686527706
49_6,Serge BARDY,H,0.06261805939270891
82_1,Valérie RABAULT,H,0.06249566291479883
07_1,Hervé SAULIGNAC,H,0.06226872318826342
19_2,Philippe NAUCHE,H,0.06208333333333333
37_2,Isabelle GAUDRON,F,0.06186640744341064
90_2,Maude CLAVEQUIN,F,0.06170731024442142
