Classement des circonscriptions,Liste H/F EM,LFI,LR,FN,PS,Total Femmes jusqu’alors - EM,LFI,LR,FN,PS,Proportion de femmes jusqu’alors - EM,LFI,LR,FN,PS
288,F,H,F,F,H,140,141,79,130,144,0.4861,0.4896,0.2743,0.4514,0.5000
289,H,F,F,F,H,140,142,80,131,144,0.4844,0.4913,0.2768,0.4533,0.4983
290,H,F,H,F,F,140,143,80,132,145,0.4828,0.4931,0.2759,0.4552,0.5000
291,H,F,H,F,H,140,144,80,133,145,0.4811,0.4948,0.2749,0.4570,0.4983
292,F,H,H,F,F,141,144,80,134,146,0.4829,0.4932,0.2740,0.4589,0.5000
293,H,F,F,F,F,141,145,81,135,147,0.4812,0.4949,0.2765,0.4608,0.5017
294,H,F,F,F,H,141,146,82,136,147,0.4796,0.4966,0.2789,0.4626,0.5000
295,F,H,H,H,F,142,146,82,136,148,0.4814,0.4949,0.2780,0.4610,0.5017
296,F,,H,H,H,143,146,82,136,148,0.4831,0.4932,0.2770,0.4595,0.5000
297,F,H,H,F,H,144,146,82,137,148,0.4848,0.4916,0.2761,0.4613,0.4983
298,H,H,H,H,H,144,146,82,137,148,0.4832,0.4899,0.2752,0.4597,0.4966
299,H,H,F,F,H,144,146,83,138,148,0.4816,0.4883,0.2776,0.4615,0.4950
300,F,H,H,F,H,145,146,83,139,148,0.4833,0.4867,0.2767,0.4633,0.4933
301,H,H,H,H,H,145,146,83,139,148,0.4817,0.4850,0.2757,0.4618,0.4917
302,F,F,F,H,F,146,147,84,139,149,0.4834,0.4868,0.2781,0.4603,0.4934
303,F,F,H,H,H,147,148,84,139,149,0.4851,0.4884,0.2772,0.4587,0.4917
304,H,F,H,H,H,147,149,84,139,149,0.4836,0.4901,0.2763,0.4572,0.4901
305,H,F,H,F,F,147,150,84,140,150,0.4820,0.4918,0.2754,0.4590,0.4918
306,F,F,H,F,F,148,151,84,141,151,0.4837,0.4935,0.2745,0.4608,0.4935
307,F,H,H,H,H,149,151,84,141,151,0.4853,0.4919,0.2736,0.4593,0.4919
308,F,F,H,H,F,150,152,84,141,152,0.4870,0.4935,0.2727,0.4578,0.4935
309,H,F,H,F,H,150,153,84,142,152,0.4854,0.4951,0.2718,0.4595,0.4919
310,F,H,F,F,H,151,153,85,143,152,0.4871,0.4935,0.2742,0.4613,0.4903
311,H,F,F,H,H,151,154,86,143,152,0.4855,0.4952,0.2765,0.4598,0.4887
312,H,H,H,F,H,151,154,86,144,152,0.4840,0.4936,0.2756,0.4615,0.4872
313,H,F,F,H,F,151,155,87,144,153,0.4824,0.4952,0.2780,0.4601,0.4888
314,F,H,H,H,H,152,155,87,144,153,0.4841,0.4936,0.2771,0.4586,0.4873
315,H,F,H,F,F,152,156,87,145,154,0.4825,0.4952,0.2762,0.4603,0.4889
316,H,F,F,H,H,152,157,88,145,154,0.4810,0.4968,0.2785,0.4589,0.4873
317,H,H,F,F,F,152,157,89,146,155,0.4795,0.4953,0.2808,0.4606,0.4890
318,F,H,H,F,H,153,157,89,147,155,0.4811,0.4937,0.2799,0.4623,0.4874
319,F,F,H,F,F,154,158,89,148,156,0.4828,0.4953,0.2790,0.4639,0.4890
320,F,H,F,H,H,155,158,90,148,156,0.4844,0.4938,0.2813,0.4625,0.4875
321,H,H,H,H,F,155,158,90,148,157,0.4829,0.4922,0.2804,0.4611,0.4891
322,F,H,H,H,F,156,158,90,148,158,0.4845,0.4907,0.2795,0.4596,0.4907
323,F,H,H,F,F,157,158,90,149,159,0.4861,0.4892,0.2786,0.4613,0.4923
324,H,H,F,F,H,157,158,91,150,159,0.4846,0.4877,0.2809,0.4630,0.4907
325,H,F,F,H,F,157,159,92,150,160,0.4831,0.4892,0.2831,0.4615,0.4923
326,F,H,F,H,F,158,159,93,150,161,0.4847,0.4877,0.2853,0.4601,0.4939
327,F,F,H,H,H,159,160,93,150,161,0.4862,0.4893,0.2844,0.4587,0.4924
328,F,F,H,H,F,160,161,93,150,162,0.4878,0.4909,0.2835,0.4573,0.4939
329,F,F,H,H,H,161,162,93,150,162,0.4894,0.4924,0.2827,0.4559,0.4924
330,H,F,H,F,H,161,163,93,151,162,0.4879,0.4939,0.2818,0.4576,0.4909
331,F,F,F,F,F,162,164,94,152,163,0.4894,0.4955,0.2840,0.4592,0.4924
332,F,H,F,H,F,163,164,95,152,164,0.4910,0.4940,0.2861,0.4578,0.4940
333,H,F,F,F,F,163,165,96,153,165,0.4895,0.4955,0.2883,0.4595,0.4955
334,F,H,H,F,H,164,165,96,154,165,0.4910,0.4940,0.2874,0.4611,0.4940
335,H,H,H,H,H,164,165,96,154,165,0.4896,0.4925,0.2866,0.4597,0.4925
336,F,H,F,H,F,165,165,97,154,166,0.4911,0.4911,0.2887,0.4583,0.4940
337,F,H,F,H,F,166,165,98,154,167,0.4926,0.4896,0.2908,0.4570,0.4955
338,H,H,F,H,F,166,165,99,154,168,0.4911,0.4882,0.2929,0.4556,0.4970
339,F,F,H,F,H,167,166,99,155,168,0.4926,0.4897,0.2920,0.4572,0.4956
340,H,H,H,F,H,167,166,99,156,168,0.4912,0.4882,0.2912,0.4588,0.4941
341,H,H,F,F,H,167,166,100,157,168,0.4897,0.4868,0.2933,0.4604,0.4927
342,F,F,H,H,H,168,167,100,157,168,0.4912,0.4883,0.2924,0.4591,0.4912
343,H,F,H,F,F,168,168,100,158,169,0.4898,0.4898,0.2915,0.4606,0.4927
344,F,F,F,F,H,169,169,101,159,169,0.4913,0.4913,0.2936,0.4622,0.4913
345,H,H,F,F,H,169,169,102,160,169,0.4899,0.4899,0.2957,0.4638,0.4899
346,H,F,F,F,F,169,170,103,161,170,0.4884,0.4913,0.2977,0.4653,0.4913
347,H,F,F,F,H,169,171,104,162,170,0.4870,0.4928,0.2997,0.4669,0.4899
348,F,F,F,H,H,170,172,105,162,170,0.4885,0.4943,0.3017,0.4655,0.4885
349,H,F,F,F,H,170,173,106,163,170,0.4871,0.4957,0.3037,0.4670,0.4871
350,H,H,H,H,H,170,173,106,163,170,0.4857,0.4943,0.3029,0.4657,0.4857
351,H,F,H,F,F,170,174,106,164,171,0.4843,0.4957,0.3020,0.4672,0.4872
352,F,H,H,F,F,171,174,106,165,172,0.4858,0.4943,0.3011,0.4688,0.4886
353,H,H,H,H,H,171,174,106,165,172,0.4844,0.4929,0.3003,0.4674,0.4873
354,F,H,H,F,H,172,174,106,166,172,0.4859,0.4915,0.2994,0.4689,0.4859
355,F,F,H,H,H,173,175,106,166,172,0.4873,0.4930,0.2986,0.4676,0.4845
356,H,H,H,F,F,173,175,106,167,173,0.4860,0.4916,0.2978,0.4691,0.4860
357,H,H,H,F,H,173,175,106,168,173,0.4846,0.4902,0.2969,0.4706,0.4846
358,F,F,H,F,H,174,176,106,169,173,0.4860,0.4916,0.2961,0.4721,0.4832
359,F,H,H,H,F,175,176,106,169,174,0.4875,0.4903,0.2953,0.4708,0.4847
360,H,H,F,H,H,175,176,107,169,174,0.4861,0.4889,0.2972,0.4694,0.4833
361,H,F,H,F,H,175,177,107,170,174,0.4848,0.4903,0.2964,0.4709,0.4820
362,H,H,F,F,H,175,177,108,171,174,0.4834,0.4890,0.2983,0.4724,0.4807
363,F,H,F,F,F,176,177,109,172,175,0.4848,0.4876,0.3003,0.4738,0.4821
364,F,F,F,H,H,177,178,110,172,175,0.4863,0.4890,0.3022,0.4725,0.4808
365,H,H,H,H,F,177,178,110,172,176,0.4849,0.4877,0.3014,0.4712,0.4822
366,H,F,H,H,F,177,179,110,172,177,0.4836,0.4891,0.3005,0.4699,0.4836
367,H,H,H,F,F,177,179,110,173,178,0.4823,0.4877,0.2997,0.4714,0.4850
368,F,F,H,F,F,178,180,110,174,179,0.4837,0.4891,0.2989,0.4728,0.4864
369,F,H,H,H,H,179,180,110,174,179,0.4851,0.4878,0.2981,0.4715,0.4851
370,H,F,H,F,F,179,181,110,175,180,0.4838,0.4892,0.2973,0.4730,0.4865
371,F,F,F,H,F,180,182,111,175,181,0.4852,0.4906,0.2992,0.4717,0.4879
372,H,H,F,F,F,180,182,112,176,182,0.4839,0.4892,0.3011,0.4731,0.4892
373,F,F,H,F,H,181,183,112,177,182,0.4853,0.4906,0.3003,0.4745,0.4879
374,H,H,F,F,F,181,183,113,178,183,0.4840,0.4893,0.3021,0.4759,0.4893
375,F,H,F,H,H,182,183,114,178,183,0.4853,0.4880,0.3040,0.4747,0.4880
376,F,H,F,F,H,183,183,115,179,183,0.4867,0.4867,0.3059,0.4761,0.4867
377,F,F,F,H,F,184,184,116,179,184,0.4881,0.4881,0.3077,0.4748,0.4881
378,F,F,H,H,F,185,185,116,179,185,0.4894,0.4894,0.3069,0.4735,0.4894
379,F,F,F,F,H,186,186,117,180,185,0.4908,0.4908,0.3087,0.4749,0.4881
380,F,H,H,H,H,187,186,117,180,185,0.4921,0.4895,0.3079,0.4737,0.4868
381,H,F,H,H,F,187,187,117,180,186,0.4908,0.4908,0.3071,0.4724,0.4882
382,F,H,H,F,F,188,187,117,181,187,0.4921,0.4895,0.3063,0.4738,0.4895
383,F,H,H,F,H,189,187,117,182,187,0.4935,0.4883,0.3055,0.4752,0.4883
384,F,H,F,F,H,190,187,118,183,187,0.4948,0.4870,0.3073,0.4766,0.4870
385,H,F,H,F,H,190,188,118,184,187,0.4935,0.4883,0.3065,0.4779,0.4857
386,H,H,H,F,F,190,188,118,185,188,0.4922,0.4870,0.3057,0.4793,0.4870
387,H,H,H,F,F,190,188,118,186,189,0.4910,0.4858,0.3049,0.4806,0.4884
388,H,H,H,H,F,190,188,118,186,190,0.4897,0.4845,0.3041,0.4794,0.4897
389,H,H,H,F,H,190,188,118,187,190,0.4884,0.4833,0.3033,0.4807,0.4884
390,F,H,H,H,H,191,188,118,187,190,0.4897,0.4821,0.3026,0.4795,0.4872
391,F,F,H,H,F,192,189,118,187,191,0.4910,0.4834,0.3018,0.4783,0.4885
392,H,F,F,H,F,192,190,119,187,192,0.4898,0.4847,0.3036,0.4770,0.4898
393,F,F,H,H,,193,191,119,187,192,0.4911,0.4860,0.3028,0.4758,0.4885
394,H,F,H,F,,193,192,119,188,192,0.4898,0.4873,0.3020,0.4772,0.4873
395,F,H,F,F,,194,192,120,189,192,0.4911,0.4861,0.3038,0.4785,0.4861
396,F,F,F,H,,195,193,121,189,192,0.4924,0.4874,0.3056,0.4773,0.4848
397,F,F,H,F,,196,194,121,190,192,0.4937,0.4887,0.3048,0.4786,0.4836
398,H,H,F,F,,196,194,122,191,192,0.4925,0.4874,0.3065,0.4799,0.4824
399,F,H,H,F,,197,194,122,192,192,0.4937,0.4862,0.3058,0.4812,0.4812
400,F,F,F,F,,198,195,123,193,192,0.4950,0.4875,0.3075,0.4825,0.4800
401,H,H,F,F,,198,195,124,194,192,0.4938,0.4863,0.3092,0.4838,0.4788
402,F,F,F,H,,199,196,125,194,192,0.4950,0.4876,0.3109,0.4826,0.4776
403,H,F,F,F,,199,197,126,195,192,0.4938,0.4888,0.3127,0.4839,0.4764
404,H,F,F,F,,199,198,127,196,192,0.4926,0.4901,0.3144,0.4851,0.4752
405,F,F,F,H,,200,199,128,196,192,0.4938,0.4914,0.3160,0.4840,0.4741
406,F,F,H,,,201,200,128,196,192,0.4951,0.4926,0.3153,,
407,F,H,F,,,202,200,129,196,192,0.4963,0.4914,0.3170,,
408,H,H,H,,,202,200,129,196,192,0.4951,0.4902,0.3162,,
409,H,F,H,,,202,201,129,196,192,0.4939,0.4914,0.3154,,
410,H,H,F,,,202,201,130,196,192,0.4927,0.4902,0.3171,,
411,H,F,H,,,202,202,130,196,192,0.4915,0.4915,0.3163,,
412,H,H,H,,,202,202,130,196,192,0.4903,0.4903,0.3155,,
413,F,F,F,,,203,203,131,196,192,0.4915,0.4915,0.3172,,
414,F,F,H,,,204,204,131,196,192,0.4928,0.4928,0.3164,,
415,F,H,H,,,205,204,131,196,192,0.4940,0.4916,0.3157,,
416,H,H,F,,,205,204,132,196,192,0.4928,0.4904,0.3173,,
417,F,H,F,,,206,204,133,196,192,0.4940,0.4892,0.3189,,
418,F,F,F,,,207,205,134,196,192,0.4952,0.4904,0.3206,,
419,F,H,H,,,208,205,134,196,192,0.4964,0.4893,0.3198,,
420,F,F,H,,,209,206,134,196,192,0.4976,0.4905,0.3190,,
421,F,H,F,,,210,206,135,196,192,0.4988,0.4893,0.3207,,
422,H,H,H,,,210,206,135,196,192,0.4976,0.4882,0.3199,,
423,H,H,F,,,210,206,136,196,192,0.4965,0.4870,0.3215,,
424,F,F,F,,,211,207,137,196,192,0.4976,0.4882,0.3231,,
425,F,F,F,,,212,208,138,196,192,0.4988,0.4894,0.3247,,
426,H,H,F,,,212,208,139,196,192,0.4977,0.4883,0.3263,,
427,F,H,H,,,213,208,139,196,192,0.4988,0.4871,0.3255,,
428,F,H,H,,,214,208,139,196,192,,0.4860,0.3248,,
429,,H,F,,,214,208,140,196,192,,0.4848,,,
430,,H,H,,,214,208,140,196,192,,0.4837,,,
431,,H,F,,,214,208,141,196,192,,0.4826,,,
432,,F,H,,,214,209,141,196,192,,0.4838,,,
433,,F,F,,,214,210,142,196,192,,0.4850,,,
434,,H,F,,,214,210,143,196,192,,0.4839,,,
435,,F,F,,,214,211,144,196,192,,0.4851,,,
436,,F,F,,,214,212,145,196,192,,0.4862,,,
437,,F,H,,,214,213,145,196,192,,0.4874,,,
438,,F,H,,,214,214,145,196,192,,0.4886,,,
439,,H,F,,,214,214,146,196,192,,0.4875,,,
440,,F,H,,,214,215,146,196,192,,0.4886,,,
441,,H,H,,,214,215,146,196,192,,0.4875,,,
442,,F,F,,,214,216,147,196,192,,0.4887,,,
443,,F,F,,,214,217,148,196,192,,0.4898,,,
444,,H,F,,,214,217,149,196,192,,0.4887,,,
445,,H,F,,,214,217,150,196,192,,0.4876,,,
446,,H,F,,,214,217,151,196,192,,0.4865,,,
447,,H,F,,,214,217,152,196,192,,0.4855,,,
448,,H,F,,,214,217,153,196,192,,0.4844,,,
449,,H,F,,,214,217,154,196,192,,0.4833,,,
450,,,F,,,214,217,155,196,192,,0.4822,,,
451,,,H,,,214,217,155,196,192,,0.4812,,,
452,,F,F,,,214,218,156,196,192,,0.4823,,,
453,,H,F,,,214,218,157,196,192,,0.4812,,,
454,,F,F,,,214,219,158,196,192,,0.4824,,,
455,,F,F,,,214,220,159,196,192,,0.4835,,,
456,,F,F,,,214,221,160,196,192,,0.4846,,,
457,,F,H,,,214,222,160,196,192,,0.4858,,,
458,,H,F,,,214,222,161,196,192,,0.4847,,,
459,,H,H,,,214,222,161,196,192,,0.4837,,,
460,,H,F,,,214,222,162,196,192,,0.4826,,,
461,,H,H,,,214,222,162,196,192,,0.4816,,,
462,,F,F,,,214,223,163,196,192,,0.4827,,,
463,,F,F,,,214,224,164,196,192,,0.4838,,,
464,,H,F,,,214,224,165,196,192,,0.4828,,,
465,,H,F,,,214,224,166,196,192,,0.4817,,,
466,,H,H,,,214,224,166,196,192,,0.4807,,,
467,,,F,,,214,224,167,196,192,,0.4797,,,
468,,F,F,,,214,225,168,196,192,,0.4808,,,
469,,F,,,,214,226,168,196,192,,0.4819,,,
470,,F,,,,214,227,168,196,192,,0.4830,,,
471,,F,,,,214,228,168,196,192,,0.4841,,,
472,,F,,,,214,229,168,196,192,,0.4852,,,
473,,F,,,,214,230,168,196,192,,0.4863,,,
474,,H,,,,214,230,168,196,192,,0.4852,,,
475,,H,,,,214,230,168,196,192,,0.4842,,,
476,,F,,,,214,231,168,196,192,,0.4853,,,
477,,F,,,,214,232,168,196,192,,0.4864,,,
478,,F,,,,214,233,168,196,192,,0.4874,,,
479,,F,,,,214,234,168,196,192,,0.4885,,,
480,,F,,,,214,235,168,196,192,,0.4896,,,
481,,H,,,,214,235,168,196,192,,0.4886,,,
482,,H,,,,214,235,168,196,192,,0.4876,,,
483,,H,,,,214,235,168,196,192,,0.4865,,,
484,,F,,,,214,236,168,196,192,,0.4876,,,
485,,F,,,,214,237,168,196,192,,0.4887,,,
486,,H,,,,214,237,168,196,192,,0.4877,,,
487,,F,,,,214,238,168,196,192,,0.4887,,,
488,,F,,,,214,239,168,196,192,,0.4898,,,
489,,H,,,,214,239,168,196,192,,0.4888,,,
490,,F,,,,214,240,168,196,192,,0.4898,,,
491,,H,,,,214,240,168,196,192,,0.4888,,,
492,,H,,,,214,240,168,196,192,,0.4878,,,
493,,F,,,,214,241,168,196,192,,0.4888,,,
494,,H,,,,214,241,168,196,192,,0.4879,,,
495,,F,,,,214,242,168,196,192,,0.4889,,,
496,,H,,,,214,242,168,196,192,,0.4879,,,
497,,H,,,,214,242,168,196,192,,0.4869,,,
498,,F,,,,214,243,168,196,192,,0.4880,,,
499,,F,,,,214,244,168,196,192,,0.4890,,,
500,,H,,,,214,244,168,196,192,,0.4880,,,
501,,H,,,,214,244,168,196,192,,0.4870,,,
502,,F,,,,214,245,168,196,192,,0.4880,,,
503,,F,,,,214,246,168,196,192,,0.4891,,,
504,,F,,,,214,247,168,196,192,,0.4901,,,
505,,F,,,,214,248,168,196,192,,0.4911,,,
506,,H,,,,214,248,168,196,192,,0.4901,,,
507,,F,,,,214,249,168,196,192,,0.4911,,,
508,,H,,,,214,249,168,196,192,,0.4902,,,
509,,H,,,,214,249,168,196,192,,0.4892,,,
510,,H,,,,214,249,168,196,192,,0.4882,,,
511,,F,,,,214,250,168,196,192,,0.4892,,,
512,,F,,,,214,251,168,196,192,,0.4902,,,
513,,F,,,,214,252,168,196,192,,0.4912,,,
