Classement des circonscriptions,Liste H/F EM,LFI,LR,FN,PS,Total Femmes jusqu’alors - EM,LFI,LR,FN,PS,Proportion de femmes jusqu’alors - EM,LFI,LR,FN,PS
67,F,H,H,F,H,35,30,15,24,29,0.5224,0.4478,0.2239,0.3582,0.4328
68,F,H,F,F,H,36,30,16,25,29,0.5294,0.4412,0.2353,0.3676,0.4265
69,F,H,F,H,F,37,30,17,25,30,0.5362,0.4348,0.2464,0.3623,0.4348
70,F,H,F,H,H,38,30,18,25,30,0.5429,0.4286,0.2571,0.3571,0.4286
71,H,F,H,H,F,38,31,18,25,31,0.5352,0.4366,0.2535,0.3521,0.4366
72,F,H,H,H,H,39,31,18,25,31,0.5417,0.4306,0.2500,0.3472,0.4306
73,H,H,H,F,F,39,31,18,26,32,0.5342,0.4247,0.2466,0.3562,0.4384
74,H,F,H,H,H,39,32,18,26,32,0.5270,0.4324,0.2432,0.3514,0.4324
75,H,H,H,H,H,39,32,18,26,32,0.5200,0.4267,0.2400,0.3467,0.4267
76,F,F,H,H,H,40,33,18,26,32,0.5263,0.4342,0.2368,0.3421,0.4211
77,H,F,F,H,H,40,34,19,26,32,0.5195,0.4416,0.2468,0.3377,0.4156
78,F,F,H,H,F,41,35,19,26,33,0.5256,0.4487,0.2436,0.3333,0.4231
79,H,F,H,F,H,41,36,19,27,33,0.5190,0.4557,0.2405,0.3418,0.4177
80,H,F,F,H,H,41,37,20,27,33,0.5125,0.4625,0.2500,0.3375,0.4125
81,F,H,H,H,F,42,37,20,27,34,0.5185,0.4568,0.2469,0.3333,0.4198
82,H,H,F,H,H,42,37,21,27,34,0.5122,0.4512,0.2561,0.3293,0.4146
83,H,H,F,F,H,42,37,22,28,34,0.5060,0.4458,0.2651,0.3373,0.4096
84,F,H,H,H,F,43,37,22,28,35,0.5119,0.4405,0.2619,0.3333,0.4167
85,H,F,H,H,H,43,38,22,28,35,0.5059,0.4471,0.2588,0.3294,0.4118
86,H,H,H,H,F,43,38,22,28,36,0.5000,0.4419,0.2558,0.3256,0.4186
87,H,F,H,H,F,43,39,22,28,37,0.4943,0.4483,0.2529,0.3218,0.4253
