code_circo,TG,SG,Titulaire,Suppléant
75_16,F,H,Sarah Legrain,Stéphane Fernandez
06_6,F,H,Prune Helfter-Noah,Stéphane Pons
37_5,F,H,Constance ASCAR,Stéphane Renaud
95_5,F,H,Françoise Stiegler,Stéphane Steunou
63_3,H,F,Marc Chovin,Stéphanie Burias
77_8,F,H,Julia Killian,Sylvain Beaulieu
42_6,F,H,Sadia Nadia Seghir,Sylvain Begon
21_2,H,F,Patricia Marc,SYLVAINE AMALRIC
38_6,H,F,Michael Aydin,Sylviane Nouet
76_1,H,F,Lionel Descamps,SYLVIE Glabik
02_4,H,F,Régis POMMEROLLE,SYLVIE HEYVAERTS
61_2,H,F,Jean-Claude MARIE,Sylvie Quinton-Barbeau
12_3,F,H,Catherine LAUR,Théo Ollivier--Triquet
51_4,F,H,Claudine Lang,Thibaut FONTAINE
18_2,F,H,Souade Kastani,Thierry Lopez
30_4,F,H,Lucie Rousselou,Thomas Champigny
33_3,H,F,Loïc Prudhomme,Tiphaine Maurin
17_4,F,H,Lucie Kirchner,Tony Launay
38_1,F,H,Caroline Schreiber,Tristan Sanchez
91_1,F,H,Farida Amrani,Ulysse Rabaté
59_15,H,F,Hervé Walraeve,Valérie Gyzelinck
38_2,F,F,Taha Bouhafs,Valérie Neyreneuf
78_10,H,F,Benjamin Nicoletta,Valérie Profizi-Bachelart
76_7,H,F,Gérald Maniable,Veronica Petitjean
38_10,H,F,Thierry Monchatre-Jacquot,Véronique Chouvy
92_2,H,F,Nino Schillaci,Véronique Haab
54_4,H,F,Vincent Guenaire-Doazan,Véronique Nobili
42_5,H,F,Dominique Flachat,Véronique Rakose-Truchet
45_6,H,F,Jérôme SCHMITT,Véronique Seltz
94_6,F,H,Stéphanie Michel,Vianney Orjebin
84_1,F,H,Amandine Laugier,Vincent Delahaye
91_3,F,H,Virginie Araujo,Vincent Vergeron
88_1,H,F,Fabrice Pisias,Virginie Gerardin
01_3,H,F,Christian JOLIE,Virginie Polsinelli
73_2,H,F,Yamen Adissa,Viviane NOGUES
91_7,F,H,Mounia Benaili,Vivien Rebière
49_1,F,H,Manon Cantin,William Duménil
33_1,F,H,Evelyne Cervantes,WILLIAM VANDELANNOOTE
76_5,F,H,Myriam Mulot,Yann Beux
74_2,F,H,Anne-Marie Amphyon,Yann Burguere
83_3,F,H,Danielle Lapierre,Yannick Perrot
75_13,F,H,Magalhy Berto,Yazid Arifi
17_1,H,F,Cédric Ruffié,Yhlem Dekkiche
89_3,F,H,Isabelle Michaud,Yoann Toupet
66_3,H,F,Philippe Assens,Zoé Salmeron
