code_circo,nom,genre
57_5,Angèle DUFFLO,F
57_6,Jean-Christophe KINNEL,H
57_7,Paola ZANETTI,F
57_8,Michel LIEBGOTT,H
57_9,Brigitte VAISSE,F
58_1,Gaëtan GORCE,H
58_2,Christian PAUL,H
59_1,François LAMY,H
59_10,Yasmina CHIGRI KERNAB,F
59_11,Roger VICOT,H
59_14,Christian DEVOS,H
59_15,Michel LABITTE,H
59_16,Frédéric DELANNOY,H
59_17,Agnès DUPUIS,F
59_18,Claire POMMEYROL BURLET,F
59_2,Audrey LINKENHELD,F
59_20,Marcel LOUREL,H
59_21,Christine LAURENT,F
59_3,Rémi PAUVROS,H
59_4,Philippe HARQUET,H
59_5,Aude LEDUC,F
59_7,Hélène VIARD,F
60_3,Johann LUCAS,H
60_7,Alexandre OUIZILLE,H
61_2,Serge DELAVALLEE,H
61_3,Isabelle BOSCHER,F
62_1,Jean-Jacques COTTEL,H
62_10,Bernard CAILLIAU,H
62_11,Philippe KEMEL,H
62_12,Nicolas BAYS,H
62_2,Jacqueline MAQUET,F
62_3,Frédérique MASSON,F
62_4,Blandine DRAIN,F
62_5,Frédéric CUVILLIER,H
62_6,Brigitte BOURGUIGNON,F
62_7,Yann CAPET,H
62_8,Bertrand PETIT,H
63_1,Cécile AUDET,F
63_2,Christine PIRES BEAUNE,F
63_4,Sylvie MAISONNET,F
63_5,Gérard BETENFELD,H
64_1,Jérôme MARBOT,H
64_2,Nathalie CHABANNE,F
64_3,David HABIB,H
64_5,Colette CAPDEVIELLE,F
64_6,Sylviane ALAUX,F
65_1,Jean GALVANY,H
66_2,Marie-Pierre SADOURNY,F
66_3,Ségolène NEUVILLE,F
66_4,Alexandre Reynal,H
67_1,Eric ELKOUBY,H
67_2,Philippe BIES,H
67_3,Serge OEHLER,H
68_5,Abdellatif TIMDOUINE,H
68_6,Pierre PARRA,H
69_11,Jules JOASSARD,H
69_12,David CHIZAT,H
69_13,Françoise BERGAME,F
69_14,Yves BLEIN,H
69_6,Najat VALLAUD BELKACEM,F
69_7,Renaud GAUQUELIN,H
70_1,Laurent RICARD,H
70_2,Jérôme LAROCHE,H
71_1,Catherine N’DIAYE,F
71_3,Philippe BAUMEL,H
71_4,Cécile UNTERMAIER,F
71_5,Christophe SIRUGUE,H
72_1,Françoise DUBOIS,F
72_2,Marietta KARAMANLI,F
72_3,Nicolas CHAUVIN,F
72_4,Stéphane LE FOLL,H
72_5,Christophe ROUILLON,H
73_3,Philippe VIVIER,H
74_4,Anne FAVRELLE,F
74_5,Jean-Baptiste BAUD,H
75_1,Pauline VERON,F
75_11,Pascal CHERKI,H
75_12,Florian SITBON,H
75_14,Pierre-Alain WEILL,H
75_15,George PAU LANGEVIN,F
75_16,Jean-Christophe CAMBADELIS,H
75_17,Colombe BROSSEL,F
75_18,Myriam EL KHOMRI,F
75_2,Marine ROSSET,F
75_3,Annick LEPETIT,F
75_4,Fabrice DASSIE,H
75_5,Seybah DAGOMA,F
75_7,Patrick BLOCHE,H
75_8,Sandrine MAZETIER,F
75_9,Jean-Marie LE GUEN,H
76_1,Valérie FOURNEYRON,F
76_10,Jean-Pierre THEVENOT,H
76_2,Jacques Antoine PHILIPPE,H
76_3,Luce PANE,F
76_4,Guillaume BACHELAY,H
76_5,Christophe BOUILLON,H
76_6,Marie LE VERN,F
76_7,Matthieu BRASSE,H
