code_circo,Exprimés,POUTOU,MÉLENCHON,ARTHAUD,LASSALLE,DUPONT-AIGNAN,ASSELINEAU,MACRON,LE PEN,FILLON,CHEMINADE,HAMON
21_4,54404,695,9278,481,654,3199,457,11012,14391,11400,106,2731
21_5,66601,676,10078,430,725,3807,546,14346,17493,15247,123,3130
22_1,72645,981,15489,499,536,2768,476,22472,10397,12132,124,6771
22_2,80769,1028,14729,629,720,3603,551,21777,13994,17420,139,6179
22_3,72302,1041,12844,621,656,3694,472,20080,13764,13897,120,5113
22_4,64382,1270,15373,677,764,2633,400,16855,11226,9113,114,5957
22_5,84871,1148,17578,602,878,3260,580,23785,12322,16354,124,8240
23_1,70251,1209,14827,684,1352,3521,580,15807,13966,12637,174,5494
24_1,59451,830,14868,364,1204,2593,503,13597,11980,9410,105,3997
24_2,64553,880,13364,385,1730,3003,547,14184,15374,11345,131,3610
24_3,54090,847,12127,430,1315,2623,401,11625,11660,9653,116,3293
24_4,70616,1021,16773,447,1801,3205,677,16539,13030,12102,138,4883
25_1,57867,629,12293,370,427,2618,560,14415,11514,10767,92,4182
25_2,61437,696,12551,379,503,2679,592,15473,11213,12953,143,4255
25_3,50005,684,8123,413,467,2665,561,10096,14136,10344,77,2439
25_4,49711,624,8881,508,429,2557,650,9669,15651,7912,85,2745
25_5,65159,932,8955,381,706,4214,766,14301,14121,17953,133,2697
26_1,57284,605,11716,331,553,2692,635,13978,11222,11526,84,3942
26_2,71501,724,13238,416,915,3912,729,14825,20262,12826,132,3522
26_3,85984,1104,19543,541,1520,4171,871,18613,18229,15557,164,5671
26_4,73971,741,13489,908,880,4222,753,15798,19283,13494,153,4250
27_1,67226,707,11098,536,536,3882,605,13361,19642,13514,113,3232
27_2,62611,758,10721,524,454,3442,481,12856,18044,12004,125,3202
27_3,67599,823,11165,550,553,4039,520,12812,20409,13552,120,3056
27_4,70029,872,13989,498,488,4054,648,14352,19771,11315,111,3931
27_5,69310,773,11871,525,571,3679,673,13605,20851,13051,133,3578
28_1,70492,695,11776,442,587,4112,750,17714,14190,15916,126,4184
28_2,55680,565,10457,400,408,3098,633,11048,14728,11122,107,3114
28_3,55024,651,8486,465,465,3391,437,11946,14345,11909,112,2817
28_4,53583,748,7316,510,482,3502,433,10330,15623,12328,109,2202
29_1,72932,1026,13285,437,681,2917,493,23862,8759,13519,103,7850
29_2,59749,681,13015,279,408,2058,424,17565,7504,9703,85,8027
29_3,72742,901,13609,459,750,3373,529,21014,10549,13184,99,8275
29_4,66994,970,13985,463,749,2449,382,19452,8422,12675,127,7320
29_5,78076,991,13909,463,771,3491,408,23568,10734,15141,123,8477
29_6,72498,1365,14586,533,1039,3094,509,20195,10802,12645,108,7622
29_7,64716,1022,13167,486,878,2600,404,19237,8979,11489,101,6353
29_8,69477,1294,14051,518,916,2755,548,19201,11617,11609,111,6857
30_1,65174,535,14155,288,696,2569,725,12432,18755,11849,96,3074
30_2,71263,582,13425,293,918,3243,614,12445,23899,12836,110,2898
30_3,74614,688,13836,387,1070,3528,782,14669,21892,14034,126,3602
30_4,71894,744,16404,410,1146,3110,672,12969,22123,10895,116,3305
30_5,75622,947,20072,443,1363,2815,726,14041,20056,10887,122,4150
30_6,62115,548,13013,271,753,2543,577,12450,16548,11865,103,3444
31_1,63567,628,17061,234,963,1944,564,18400,7106,10411,108,6148
31_2,78503,727,19536,328,1220,2932,685,21641,11095,13530,128,6681
31_3,63262,471,13189,207,861,1913,471,18467,6377,15871,102,5333
31_4,51231,514,15570,187,597,1224,474,13685,4689,8590,90,5611
31_5,80938,846,17652,407,1600,4115,686,19367,18274,12536,156,5299
31_6,91652,842,20529,411,1562,3932,754,26580,15952,13630,162,7298
31_7,80704,850,18256,441,1738,3627,626,18566,18857,11505,149,6089
31_8,66707,793,14319,371,3184,2706,526,14213,15719,9726,125,5025
31_9,60991,674,16819,281,984,2036,563,15729,9246,8618,123,5918
31_10,81316,760,17346,300,1729,3376,609,23373,12790,14139,146,6748
32_1,60177,639,12388,344,2631,2606,537,14525,11204,10108,92,5103
32_2,58506,615,10701,333,2428,2772,500,13250,12183,11204,96,4424
33_1,73593,886,14176,233,985,2115,666,23142,7117,18270,115,5888
33_2,50569,610,12344,116,564,1030,404,16118,3035,10619,65,5664
33_3,61138,958,18090,244,1025,1922,598,17346,6935,7349,122,6549
33_4,69524,1252,17714,395,1172,2958,720,17129,13794,8480,136,5774
33_5,87495,1799,18330,467,1761,4239,642,20493,21123,13132,126,5383
33_6,82511,1188,17740,324,1266,3591,686,25626,11566,13455,139,6930
33_7,60820,835,14216,227,1044,2436,489,19183,7160,9460,106,5664
33_8,86274,1127,14730,351,1887,4103,673,21292,16288,21225,174,4424
33_9,75728,1193,17212,468,2018,3498,631,18117,15675,11300,155,5461
33_10,63512,985,12023,294,1423,2858,460,14164,16011,11309,127,3858
33_11,72182,1331,14479,502,1497,3806,555,14009,22219,9570,140,4074
33_12,67469,1069,14803,359,1817,2974,521,15663,14396,11114,122,4631
34_1,65495,496,15177,215,726,2316,727,14964,14499,12502,94,3779
34_2,43412,420,14634,152,297,885,502,10671,4766,6899,64,4122
34_3,69268,544,14758,202,763,2655,692,17397,13168,14410,94,4585
34_4,90905,883,21625,402,1429,3718,913,18812,22871,14931,113,5208
34_5,74975,915,17772,411,1588,2977,651,13126,22279,10940,124,4192
34_6,69694,533,13329,285,1052,2592,504,11855,23726,12705,97,3016
34_7,79698,717,16225,362,1004,3092,589,13548,25587,14921,111,3542
34_8,69180,614,16527,261,841,2651,686,14417,17996,10960,110,4117
34_9,64217,538,13949,206,761,2273,655,13831,16227,12071,87,3619
35_1,71832,735,16437,443,416,2637,505,24084,7177,10924,130,8344
35_2,77508,741,15418,417,497,2592,460,27141,7035,14902,134,8171
35_3,71194,884,14322,559,584,3356,465,21186,11419,12119,123,6177
35_4,74571,1104,15081,621,637,4099,526,20115,14125,12147,147,5969
35_5,86103,1085,14932,779,671,4969,568,25376,13241,18529,143,5810
35_6,71559,989,12272,677,680,3986,487,19182,13670,14412,137,5067
35_7,78876,861,13389,537,657,3276,547,21956,12755,19373,106,5419
35_8,67692,666,16243,305,389,1907,435,22333,5224,11628,101,8461
36_1,60391,771,11821,586,751,3148,512,13064,14195,11906,132,3505
36_2,70543,986,13117,804,977,4029,586,14237,17790,13570,166,4281
37_1,50843,501,12101,286,350,1761,409,13829,5627,11206,92,4681
37_2,72010,899,13385,526,606,4392,607,17026,15414,14549,151,4455
37_3,78104,924,14809,659,712,4558,596,19218,15345,16166,167,4950
37_4,71461,891,14051,665,690,3850,489,16953,14388,14491,123,4870
37_5,67487,692,11585,470,571,3891,519,16139,13748,15784,146,3942
38_1,65404,419,13382,214,400,1786,487,21303,5838,15716,91,5768
38_2,58316,614,15055,329,526,2354,609,15053,11443,8003,97,4233
38_3,43993,477,12529,238,280,1618,448,11727,6892,5620,68,4096
38_4,70358,738,14974,394,780,3461,664,17762,14294,12324,127,4840
38_5,80744,850,17403,413,809,4029,812,21522,15746,13002,136,6022
38_6,64038,571,10333,351,602,4037,711,13358,19982,11094,111,2888
38_7,71679,778,12570,455,950,4553,683,14929,21150,12004,136,3471
38_8,61008,565,10749,320,618,3589,610,14063,16113,10961,95,3325
38_9,75579,746,15143,453,877,4135,699,18883,16265,13106,152,5120
38_10,71388,625,13809,428,695,4211,835,15489,20185,11095,127,3889
39_1,51469,619,10765,388,665,2875,436,11509,11901,9505,97,2709
39_2,43290,674,8315,333,675,2750,458,9042,9872,8951,100,2120
39_3,54810,687,11251,427,654,2908,436,11345,14337,9917,88,2760
40_1,80143,950,15591,448,2831,3981,643,19390,15757,13487,138,6927
40_2,89348,976,18739,400,3714,3676,710,22934,14521,16712,123,6843
40_3,78500,950,15646,390,3945,3367,566,18749,14699,12288,112,7788
41_1,63944,708,11326,457,529,3714,526,14998,13867,13124,111,4584
41_2,63494,718,9776,502,650,3930,456,12471,17968,13957,154,2912
41_3,66300,772,10474,583,664,4002,534,13170,16827,15675,139,3460
42_1,48392,507,10974,266,466,2141,471,11854,9713,8286,76,3638
42_2,38360,400,9265,231,298,1469,422,9637,6468,6963,66,3141
42_3,62221,613,11572,345,693,3859,609,14499,15352,11030,97,3552
42_4,78351,867,15329,521,999,4586,664,17033,21153,12866,138,4195
42_5,79407,854,13394,579,1177,4824,622,18247,20020,15471,136,4083
42_6,84636,866,12854,605,1408,5810,695,19407,21516,17232,154,4089
43_1,77452,1057,13591,589,1480,4891,586,17985,19319,13773,160,4021
43_2,62122,871,11827,454,1632,3455,464,14834,12866,12183,122,3414
44_1,60406,536,12527,190,337,1820,402,19814,4523,14432,96,5729
44_2,69424,603,17650,236,353,1610,575,21370,4375,14843,82,7727
44_3,72867,832,19322,372,422,2683,610,21577,8566,10837,114,7532
44_4,71982,872,18873,424,441,2818,549,22057,8107,10504,114,7223
44_5,97228,1076,20124,485,709,4577,735,31292,11641,18647,170,7772
44_6,89420,1405,17692,740,830,4956,681,21880,17491,17759,174,5812
44_7,89104,1143,15952,512,723,4174,723,23445,14268,23130,154,4880
44_8,67073,876,17777,578,526,2872,500,18364,10998,8775,104,5703
44_9,97107,1214,19550,687,927,5665,681,23907,17873,20437,178,5988
44_10,96846,1061,18890,561,761,5371,673,28896,13352,20339,168,6774
45_1,60090,516,9972,331,461,3127,489,17390,9476,14099,109,4120
45_2,66175,722,11473,441,571,3685,567,16504,13807,13947,127,4331
45_3,56472,623,8316,397,618,3894,544,11917,15189,12062,116,2796
45_4,57311,569,8992,418,560,3614,537,10864,17171,11986,123,2477
45_5,58192,701,9484,460,553,3761,513,11864,16442,11424,127,2863
45_6,57332,524,9897,333,440,3047,459,14967,11577,12137,100,3851
46_1,57358,777,13519,329,1446,2410,446,14751,9871,9515,129,4165
46_2,53427,751,12495,394,1627,2140,425,14776,7993,8944,97,3785
47_1,69322,755,13192,346,2255,3239,608,15239,16677,12860,102,4049
47_2,60376,747,11330,357,2037,3058,495,11934,16017,10969,118,3314
47_3,59124,790,11496,341,1791,3110,557,12080,14577,10999,107,3276
48_1,48147,683,9483,294,1764,2197,354,10463,9097,10986,93,2733
49_1,66823,707,12372,437,445,2987,519,18757,8798,16527,98,5176
49_2,72299,864,14139,599,537,3484,533,20630,10020,15832,124,5537
49_3,56419,767,9172,551,460,3380,352,11447,13908,13322,113,2947
49_4,60004,799,8913,497,503,3601,408,13776,13192,14931,114,3270
49_5,62088,778,9687,538,448,3638,525,18788,8973,15110,97,3506
49_6,77821,1020,12857,745,656,4862,611,20990,12805,18260,142,4873
49_7,63502,761,11153,493,434,3369,491,17297,10239,14906,115,4244
50_1,69374,926,10952,617,497,3991,431,17368,15127,15182,125,4158
50_2,76310,1073,11428,737,699,4934,544,18477,14456,19636,146,4180
50_3,86459,1195,14305,722,767,4870,593,20819,18947,18966,198,5077
50_4,68835,952,14450,519,561,3307,482,18134,13206,11208,154,5862
51_1,54730,498,9523,408,348,2811,480,12971,13040,11409,102,3140
51_2,55808,495,8938,375,423,2840,475,13337,12664,13114,88,3059
51_3,61643,626,9085,462,536,3712,564,11887,18081,13922,116,2652
51_4,60239,576,9621,462,516,3555,493,12319,17091,12579,109,2918
51_5,61349,567,7257,469,528,3978,429,10444,21597,14056,110,1914
52_1,55848,723,8958,498,682,3477,420,11274,15739,11362,117,2598
52_2,46592,510,6422,428,444,2940,393,7164,18288,8228,81,1694
53_1,58700,685,9488,501,415,2921,399,16164,9436,14977,94,3620
53_2,63301,762,9062,471,533,3489,430,16522,10075,18354,107,3496
53_3,58231,795,8248,655,577,3697,353,14252,10954,15441,128,3131
54_1,61763,660,12849,357,453,2852,575,16123,10481,12252,122,5039
54_2,53051,480,10013,275,370,2126,534,15409,7970,11477,113,4284
54_3,59494,850,15754,521,465,2640,534,12152,15710,7647,108,3113
54_4,76422,945,13228,741,794,4404,640,14659,24399,12484,120,4008
54_5,62415,746,10342,528,596,3841,601,12221,19544,10276,144,3576
54_6,66521,802,15114,526,558,3468,574,13139,20090,8518,126,3606
55_1,60814,841,9094,491,766,4000,541,11690,19725,10675,126,2865
55_2,46231,589,6926,395,528,2802,315,9023,14877,8612,111,2053
56_1,86871,839,13148,416,714,3637,570,27188,11225,22572,168,6394
56_2,85436,1133,15123,524,955,4036,631,22842,14430,19093,147,6522
56_3,75273,1183,12474,625,874,4027,511,20363,16000,14349,149,4718
56_4,86390,1219,14859,718,820,4652,592,21685,18351,17886,172,5436
56_5,61851,721,12229,411,512,2369,436,18581,9180,11611,107,5694
56_6,73014,1214,14187,597,945,3690,509,19980,13741,12389,158,5604
57_1,68093,736,13990,547,494,3058,692,15685,17667,11070,111,4043
57_2,57749,550,9867,359,479,3157,608,13997,13318,11833,125,3456
57_3,56357,621,9986,334,467,2873,532,14170,12845,10746,110,3673
57_4,63974,783,8124,672,845,4994,623,11131,21566,12508,146,2582
57_5,55673,810,7551,593,1028,3949,588,10347,18203,10176,132,2296
57_6,49213,660,9799,469,488,2840,574,8312,16574,7085,110,2302
57_7,68111,918,11547,704,707,4367,701,12315,22883,10585,145,3239
57_8,64662,978,16261,597,504,2862,831,12995,18229,7377,115,3913
57_9,75394,919,12992,654,751,4425,828,18786,17267,14623,173,3976
58_1,56562,683,11446,429,584,2920,445,13219,13637,9389,114,3696
58_2,63852,862,11631,573,779,3523,513,14135,16178,11382,120,4156
59_1,44580,457,13556,285,208,1243,474,10702,6894,6043,69,4649
59_2,64829,638,18592,411,351,2280,719,15483,11678,8738,111,5828
59_3,67539,676,13854,640,488,3213,558,10739,24608,9486,101,3176
59_4,76916,634,13928,438,449,3485,553,20464,13634,18249,155,4927
59_5,78927,693,15103,559,457,4404,605,17140,21834,13364,157,4611
59_6,73139,499,11560,451,483,4010,493,17764,16583,17385,108,3803
59_7,54756,447,11805,301,264,2503,546,12590,11021,12013,98,3168
59_8,44326,452,13122,352,217,1559,619,9047,11074,4834,75,2975
59_9,68656,529,12619,305,377,2416,556,17196,9493,20736,99,4330
59_10,57748,591,12364,408,374,2925,575,11436,15515,10441,87,3032
59_11,68327,687,15554,510,419,3131,576,15082,15402,11516,124,5326
59_12,70655,650,13741,672,533,3961,476,11237,25451,10910,114,2910
59_13,65156,886,16051,729,435,3124,709,10873,21483,7009,117,3740
59_14,78277,923,13291,721,715,4770,561,14282,25531,13785,153,3545
59_15,76432,914,13247,737,639,4522,513,14747,22788,14615,122,3588
59_16,61849,628,16138,650,374,2634,412,9238,22920,5747,111,2997
59_17,55377,535,12300,432,327,2562,457,9685,18212,7925,104,2838
59_18,69004,646,11401,702,441,4309,562,11721,24584,11665,130,2843
59_19,59244,543,14078,585,300,2481,460,8731,23318,5726,87,2935
59_20,57718,595,12987,587,319,2816,443,9102,21696,6525,110,2538
59_21,60348,528,12824,500,365,2897,583,11464,18311,9998,106,2772
60_1,64485,824,10558,665,508,3462,542,12260,22370,10227,117,2952
60_2,70238,777,10866,681,586,4181,565,12630,24588,12279,140,2945
60_3,55816,617,13010,456,404,2945,890,10476,16511,7373,106,3028
60_4,73480,570,10701,368,609,3880,803,16260,18405,18532,123,3229
60_5,56309,609,9940,458,452,3088,592,11802,16875,9613,93,2787
60_6,58826,621,10214,540,434,3100,531,11809,17998,10895,116,2568
60_7,58639,665,12126,509,421,3280,743,11445,18429,7864,132,3025
61_1,55412,727,8317,477,503,3091,346,12806,11988,13868,112,3177
61_2,53686,642,7069,453,488,3132,418,10022,14441,14621,115,2285
61_3,56959,778,9156,583,489,3421,527,12987,13103,12595,123,3197
62_1,84541,909,12604,842,688,4806,592,15177,29692,15515,145,3571
62_2,67509,708,12648,612,533,3470,500,16214,16303,12082,122,4317
62_3,61016,675,15277,716,316,2292,501,8664,24370,4690,105,3410
62_4,69860,739,9989,665,505,3731,391,16375,19005,15480,99,2881
62_5,67658,754,14078,681,479,3118,361,14247,19552,10357,129,3902
62_6,74176,752,11896,725,616,4548,394,13628,24616,13240,145,3616
62_7,68658,699,13719,632,473,3614,505,11790,24632,9183,117,3294
62_8,71595,775,13464,945,566,3625,402,14360,23579,10146,129,3604
62_9,61663,584,11287,572,454,3409,392,12064,19587,10103,104,3107
62_10,66278,797,14069,784,404,2898,407,10113,26364,6569,114,3759
62_11,69354,760,16039,665,391,2780,603,10088,28556,5698,92,3682
62_12,70844,850,14272,828,407,3136,436,10962,29891,6014,107,3941
63_1,61686,729,14961,405,792,2306,578,18118,9538,8837,130,5292
63_2,68879,1036,14781,587,1515,3340,550,17512,13625,10949,141,4843
63_3,69586,774,13551,413,1412,2742,471,20907,8812,14979,164,5361
63_4,77257,1089,18008,598,1532,3526,599,21289,13259,11559,181,5617
63_5,79169,1102,17116,696,2097,3731,712,18971,17796,12108,139,4701
64_1,53537,578,11042,198,2208,2115,417,15837,7528,9026,71,4517
64_2,64376,667,12131,244,3549,2657,449,18992,9984,10869,82,4752
64_3,65718,843,13684,334,5391,2653,460,16752,10962,9123,75,5441
64_4,63889,1647,12527,389,10290,2161,363,14272,7535,9959,92,4654
64_5,70953,1016,14900,268,3514,2575,616,18681,9515,14081,86,5701
64_6,77180,1620,14519,366,4930,2566,477,19424,8852,18800,102,5524
65_1,68546,818,16332,370,3322,2827,489,17681,12280,9146,90,5191
65_2,70995,760,15763,396,3606,3041,534,17321,13650,11079,110,4735
66_1,53092,531,11380,272,718,1937,468,10380,14811,9749,100,2746
66_2,74794,792,14390,406,1222,2776,582,12954,25581,12921,125,3045
66_3,63416,838,14425,343,1252,2255,572,11743,17473,10633,109,3773
66_4,75485,892,16197,456,1442,2773,681,14168,22304,12562,119,3891
67_1,47239,428,11723,186,286,1098,596,13528,4602,10100,61,4631
67_2,52813,519,12061,311,450,1990,679,14019,8284,9687,103,4710
67_3,51700,479,11281,296,416,2251,734,13129,8704,10471,87,3852
67_4,75783,600,10101,419,681,4713,747,19073,16195,19294,132,3828
67_5,81547,1035,10807,786,1003,6239,922,16831,22978,17208,171,3567
67_6,75514,847,9626,651,984,5579,773,15743,20688,17062,198,3363
67_7,67470,818,7557,752,946,5595,778,12568,21499,14343,144,2470
67_8,73535,1047,7156,885,881,6345,784,13435,24218,16151,154,2479
67_9,72185,780,8064,559,772,5443,824,14928,20427,17179,156,3053
68_1,57972,672,8158,477,675,3708,812,12663,15018,12697,148,2944
68_2,72782,897,10154,598,1145,5433,852,14668,19220,16269,176,3370
68_3,67045,725,7690,486,853,5540,766,12058,18098,18225,178,2426
68_4,80093,1078,11434,697,989,6282,1028,14107,25916,15033,195,3334
68_5,56934,539,9227,349,604,3176,786,13012,11931,13851,129,3330
68_6,69084,816,11193,494,738,4423,973,13290,19521,14162,184,3290
69_1,53964,467,12709,236,386,1753,552,16094,6190,10825,108,4644
69_2,59652,486,15388,190,322,1212,455,17625,4116,13886,85,5887
69_3,56940,480,14070,221,345,1545,578,17266,5129,11420,102,5784
69_4,63967,412,11467,194,369,1687,553,20099,5349,18634,103,5100
69_5,68807,416,9823,211,432,2624,580,19505,9103,22233,83,3797
69_6,59629,550,15791,347,368,2052,717,16538,7813,9893,101,5459
69_7,46467,448,12340,248,296,1733,662,11268,8095,7816,77,3484
69_8,81005,625,11726,423,770,4816,746,19402,16314,22117,137,3929
69_9,71693,647,10508,323,714,4196,710,16193,17236,17448,109,3609
69_10,76898,535,10956,304,696,4891,710,20249,13590,20760,128,4079
69_11,72321,601,13423,375,699,3997,730,17628,16922,14104,119,3723
69_12,62586,432,10703,311,466,2679,567,17637,8688,17057,96,3950
69_13,64640,499,11198,261,475,3351,781,15715,15408,13551,104,3297
69_14,49915,552,15009,420,364,1890,846,10932,10532,5907,92,3371
70_1,69507,967,10533,613,727,4343,583,14097,20688,13661,138,3157
70_2,70015,1054,11617,712,785,3833,623,13235,23065,11523,129,3439
71_1,56131,555,9843,313,570,3459,529,13572,11457,11973,99,3761
71_2,60953,678,10384,490,750,4386,432,13368,14255,12923,107,3180
71_3,63203,756,10623,444,593,3598,477,14248,16088,12266,103,4007
71_4,62873,770,11060,475,656,4165,536,12710,17670,11181,98,3552
71_5,66789,829,13339,479,584,3353,561,15314,15787,11757,102,4684
72_1,57959,610,9966,363,364,2331,361,12710,10205,17468,107,3474
72_2,63540,702,12870,461,373,2523,447,13421,13390,15358,114,3881
72_3,68274,821,11521,660,541,3108,444,12086,16409,19353,114,3217
72_4,63919,706,11588,447,401,2550,374,12084,12496,20089,109,3075
72_5,68750,726,10906,521,462,3145,448,14316,14582,19993,103,3548
73_1,68743,643,11441,319,892,4078,673,16344,15293,15399,108,3553
73_2,57951,706,10487,289,840,3535,629,11962,12774,13975,110,2644
73_3,56997,645,10387,334,733,3270,579,13132,13915,10723,111,3168
73_4,57868,584,12698,277,687,2790,727,14433,10466,10718,101,4387
74_1,80486,747,12040,356,867,4986,866,21617,14197,20336,173,4301
74_2,74987,683,12397,313,846,4338,933,19805,12175,18937,135,4425
74_3,64127,733,10827,317,729,4409,708,14012,14223,14617,141,3411
74_4,62569,690,10650,296,613,3353,985,15174,11680,15528,141,3459
74_5,72304,767,11878,396,806,4209,954,16524,13893,19098,132,3647
74_6,59014,643,9285,241,788,3489,575,13042,11750,16534,105,2562
75_1,68817,263,8285,104,315,832,419,26972,2666,23670,68,5223
75_2,61756,262,7105,97,331,806,352,22824,2359,23058,68,4494
75_3,56413,386,11402,153,277,1059,471,20793,2986,12988,90,5808
